title,domestic_revenue,distributor,budget,MPAA,genres,release_date
The Trip to Spain,"$1,157,604 ",IFC Films,N/A,N/A,"Comedy,Drama",11-Aug-17
Spirited Away,"$1,196,791 ",Fathom Events,N/A,PG,"Adventure,Animation,Family,Fantasy,Mystery",27-Oct-17
The Battleship Island,"$1,104,957 ",CJ Entertainment,N/A,N/A,"Action,Drama,History",26-Jul-17
Steve McQueen: American Icon,"$1,229,782 ",Fathom Events,N/A,N/A,"Biography,Documentary",28-Sep-17
3 idiotas,"$1,249,233 ",Pantelion Films,N/A,PG-13,"Comedy,Family",2-Jun-17
True to the Game,"$1,231,040 ",Faith Media Distribution,N/A,R,Drama,8-Sep-17
Chonda Pierce: Enough,"$1,260,116 ",Fathom Events,N/A,N/A,Documentary,25-Apr-17
The Sense of an Ending,"$1,274,420 ",CBS Films,N/A,PG-13,"Drama,Mystery",10-Mar-17
Overlord,"$21,704,844 ",Paramount Pictures,"$38,000,000 ",R,"Action,Adventure,Horror,Mystery,Sci-Fi,War",9-Nov-18
Holmes & Watson,"$30,573,626 ",Sony Pictures Releasing,"$42,000,000 ",PG-13,"Comedy,Crime,Mystery",25-Dec-18
The Women's Balcony,"$1,200,885 ",Menemsha Films,N/A,N/A,"Comedy,Drama",3-Mar-17
Won't You Be My Neighbor?,"$22,835,787 ",Focus Features,N/A,PG-13,"Biography,Documentary",N/A
Second Act,"$39,282,227 ",STX Entertainment,"$16,000,000 ",PG-13,"Comedy,Drama,Romance",21-Dec-18
Molly's Game,"$28,780,744 ",STX Entertainment,N/A,R,"Biography,Crime,Drama",N/A
White Boy Rick,"$24,011,188 ",Studio 8,"$29,000,000 ",R,"Crime,Drama",14-Sep-18
The Strangers: Prey at Night,"$24,586,708 ",Aviron Pictures,N/A,R,Horror,9-Mar-18
Winchester,"$25,091,816 ",Lionsgate,N/A,PG-13,"Biography,Drama,Fantasy,Horror,Mystery,Thriller",2-Feb-18
Searching,"$26,020,957 ",Screen Gems,N/A,PG-13,"Drama,Mystery,Thriller",N/A
"I, Tonya","$30,014,539 ",Neon,N/A,R,"Biography,Comedy,Drama,Sport",N/A
The Hate U Give,"$29,719,483 ",Twentieth Century Fox,"$23,000,000 ",PG-13,"Crime,Drama",N/A
The Public,"$573,503 ",Greenwich Entertainment,N/A,PG-13,Drama,5-Apr-19
Bethany Hamilton: Unstoppable,"$590,671 ",Entertainment Studios Motion Pictures,N/A,PG,"Documentary,Sport",12-Jul-19
Furie,"$594,788 ",Well Go USA Entertainment,N/A,N/A,"Action,Drama,Thriller",1-Mar-19
To Kill a Mockingbird,"$592,237 ",Fathom Events,N/A,N/A,"Crime,Drama",24-Mar-19
Hostiles,"$29,819,114 ",Entertainment Studios Motion Pictures,N/A,R,"Drama,Western",N/A
Teen Titans GO! to the Movies,"$29,790,236 ",Warner Bros.,"$10,000,000 ",PG,"Action,Adventure,Animation,Comedy,Family,Musical,Sci-Fi",27-Jul-18
The Least of These: The Graham Staines Story,"$607,015 ",Fathom Events,N/A,PG-13,Drama,31-Jan-19
The White Storm 2: Drug Lords,"$609,461 ",CMC Pictures,N/A,N/A,Action,12-Jul-19
The Muppet Movie,"$610,475 ",Fathom Events,N/A,N/A,"Adventure,Comedy,Family,Musical",25-Jul-19
Dirty Dancing,"$622,968 ",Fathom Events,"$6,000,000 ",N/A,"Drama,Music,Romance",10-Feb-19
Racetime,"$1,875,283 ",Entertainment One,N/A,PG,"Adventure,Animation,Comedy",7-Dec-18
Personal Shopper,"$1,305,195 ",IFC Films,N/A,R,"Drama,Horror,Mystery,Thriller",10-Mar-17
My Friend Dahmer,"$1,361,611 ",FilmRise,N/A,R,"Biography,Drama",3-Nov-17
The Sky Is Pink,"$652,592 ",PackYourBag Films,N/A,N/A,"Drama,Family,Romance",11-Oct-19
Churchill,"$1,281,258 ",Cohen Media Group,N/A,PG,"Biography,Drama,History,War",2-Jun-17
Non-Fiction,"$704,919 ",IFC Films,N/A,R,"Comedy,Drama,Romance",3-May-19
Roger Waters - Us + Them,"$611,644 ",Trafalgar Releasing,N/A,N/A,"Documentary,Music",2-Oct-19
Miles Davis: Birth of the Cool,"$614,201 ",Abramorama,N/A,N/A,"Biography,Documentary,Music",23-Aug-19
The Chaperone,"$600,654 ",PBS Distribution,N/A,Not Rated,Drama,28-Mar-19
Toni Erdmann,"$1,479,387 ",Sony Pictures Classics,N/A,R,"Comedy,Drama",25-Dec-16
Julieta,"$1,490,948 ",Sony Pictures Classics,N/A,R,"Drama,Mystery,Romance",21-Dec-16
Wonder Wheel,"$1,404,061 ",Amazon Studios,N/A,PG-13,Drama,1-Dec-17
The Dinner,"$1,323,312 ",The Orchard,N/A,R,"Crime,Drama,Thriller",5-May-17
The Wedding Plan,"$1,412,404 ",Roadside Attractions,N/A,PG,"Comedy,Romance",12-May-17
The Captain,"$706,572 ",Well Go USA Entertainment,N/A,N/A,Drama,18-Oct-19
Raise Hell: The Life & Times of Molly Ivins,"$694,410 ",Magnolia Pictures,N/A,N/A,Documentary,30-Aug-19
Spirits in the Forest,"$704,744 ",Trafalgar Releasing,N/A,N/A,"Documentary,Music",21-Nov-19
Mully,"$1,489,771 ",Fathom Events,N/A,N/A,"Adventure,Biography,Documentary,Drama,Family",3-Oct-17
Twins 2,"$1,431,255 ",FIP,N/A,N/A,"Action,Comedy",29-Sep-17
Elle,"$2,341,534 ",Sony Pictures Classics,N/A,R,"Crime,Drama,Thriller",11-Nov-16
Jane,"$1,723,379 ",Abramorama,N/A,PG,"Biography,Documentary",20-Oct-17
Youth,"$1,891,956 ",China Lion Film Distribution,N/A,N/A,"Drama,Romance,War",15-Dec-17
A Taxi Driver,"$1,527,829 ",Well Go USA Entertainment,N/A,N/A,"Action,Drama,History",11-Aug-17
Inhumans,"$1,521,787 ",IMAX,N/A,N/A,"Action,Adventure,Sci-Fi",1-Sep-17
Robin Hood,"$30,824,628 ",Lionsgate,"$100,000,000 ",PG-13,"Action,Adventure,Thriller",21-Nov-18
Sword Art Online The Movie: Ordinal Scale,"$1,522,976 ",Eleven Arts,N/A,N/A,"Action,Adventure,Animation,Fantasy,Sci-Fi",9-Mar-17
Super Troopers 2,"$30,617,396 ",Twentieth Century Fox,"$13,500,000 ",R,"Comedy,Crime,Mystery",20-Apr-18
Slender Man,"$30,569,484 ",Screen Gems,"$10,000,000 ",PG-13,"Horror,Mystery,Thriller",10-Aug-18
Coco,"$209,726,015 ",Walt Disney Studios Motion Pictures,N/A,PG,"Adventure,Animation,Family,Fantasy,Music,Mystery",22-Nov-17
Adrift,"$31,445,012 ",STX Entertainment,"$35,000,000 ",PG-13,"Action,Adventure,Biography,Drama,Romance,Thriller",1-Jun-18
Nobody's Fool,"$31,713,110 ",Paramount Pictures,"$19,000,000 ",R,"Comedy,Drama,Romance",2-Nov-18
Annihilation,"$32,732,301 ",Paramount Pictures,"$40,000,000 ",R,"Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller",23-Feb-18
Isle of Dogs,"$32,015,231 ",Fox Searchlight Pictures,N/A,PG-13,"Adventure,Animation,Comedy,Drama,Fantasy,Sci-Fi",N/A
Ferdinand,"$84,410,380 ",Twentieth Century Fox,"$111,000,000 ",PG,"Adventure,Animation,Comedy,Family,Fantasy",15-Dec-17
The Spy Who Dumped Me,"$33,562,069 ",Lionsgate,"$40,000,000 ",R,"Action,Adventure,Comedy",3-Aug-18
Green Book,"$85,080,171 ",Universal Pictures,"$23,000,000 ",PG-13,"Biography,Comedy,Drama,Music",N/A
Death Wish,"$34,017,028 ",Metro-Goldwyn-Mayer (MGM),"$30,000,000 ",R,"Action,Crime,Drama,Thriller",2-Mar-18
Peppermint,"$35,418,723 ",STX Entertainment,"$25,000,000 ",R,"Action,Drama,Thriller",7-Sep-18
Alpha,"$35,857,181 ",Studio 8,"$51,000,000 ",PG-13,"Adventure,Drama,Family",17-Aug-18
Honeyland,"$815,082 ",Neon,N/A,N/A,"Documentary,Drama",26-Jul-19
Mile 22,"$36,108,758 ",STX Entertainment,"$50,000,000 ",R,"Action,Thriller",17-Aug-18
The 15:17 to Paris,"$36,276,286 ",Warner Bros.,"$30,000,000 ",PG-13,"Biography,Drama,Thriller",9-Feb-18
The Game Changers,"$739,711 ",Fathom Events,N/A,N/A,Documentary,16-Sep-19
Joni 75: A Birthday Celebration,"$752,205 ",Trafalgar Releasing,N/A,N/A,Music,7-Feb-19
I Love Lucy: A Colorized Celebration,"$754,323 ",Fathom Events,N/A,N/A,Comedy,6-Aug-19
Patterns of Evidence: Moses Controversy,"$765,361 ",Fathom Events,N/A,N/A,Documentary,14-Mar-19
The Church,"$772,000 ",Indican Pictures,N/A,PG-13,"Horror,Thriller",24-May-19
Student of the Year 2,"$778,566 ",FIP,N/A,Not Rated,"Drama,Romance,Sport",10-May-19
Chonda Pierce: Unashamed,"$787,979 ",Fathom Events,N/A,N/A,Documentary,7-May-19
One Piece: Stampede,"$1,298,528 ",FUNimation Entertainment,N/A,N/A,"Action,Adventure,Animation,Family,Fantasy",24-Oct-19
More Than Blue,"$722,669 ",China Lion Film Distribution,N/A,N/A,Romance,15-Mar-19
David Crosby: Remember My Name,"$732,793 ",Sony Pictures Classics,N/A,R,"Documentary,Music",19-Jul-19
Where's My Roy Cohn?,"$705,274 ",Sony Pictures Classics,N/A,PG-13,Documentary,20-Sep-19
Transit,"$815,290 ",Music Box Films,N/A,N/A,"Drama,Sci-Fi",1-Mar-19
Climax,"$817,339 ",A24,N/A,R,"Drama,Horror,Music,Thriller",1-Mar-19
Woman at War,"$847,495 ",Magnolia Pictures,N/A,Not Rated,"Adventure,Comedy,Drama",1-Mar-19
Steel Magnolias,"$855,421 ",Fathom Events,N/A,N/A,"Comedy,Drama,Romance",19-May-19
Alien,"$833,658 ",Fathom Events,"$11,000,000 ",R,"Horror,Sci-Fi",13-Oct-19
Howl's Moving Castle,"$865,647 ",Fathom Events,N/A,PG,"Adventure,Animation,Family,Fantasy",7-Apr-19
Genesis: Paradise Lost,"$1,575,000 ",Fathom Events,N/A,PG,Documentary,13-Nov-17
A Hidden Life,"$1,730,597 ",Fox Searchlight Pictures,N/A,PG-13,"Biography,Drama,Romance,War",13-Dec-19
The Stray,"$1,579,440 ",Purdie Distribution,N/A,PG,"Drama,Family",6-Oct-17
The Fighting Preacher,"$954,641 ",Purdie Distribution,N/A,PG,"Comedy,Drama,History",24-Jul-19
Professor Marston & the Wonder Women,"$1,584,759 ",Annapurna Pictures,N/A,R,"Biography,Drama",13-Oct-17
Slamma Jamma,"$1,687,000 ",River Rain Productions,N/A,PG,"Drama,Sport",24-Mar-17
A Ghost Story,"$1,596,371 ",A24,"$100,000 ",R,"Drama,Fantasy,Romance",7-Jul-17
The Comedian,"$1,659,002 ",Sony Pictures Classics,N/A,R,"Comedy,Drama",N/A
Jab Harry Met Sejal,"$1,664,648 ",Yash Raj Films,N/A,N/A,"Comedy,Drama,Romance",4-Aug-17
Jolly LLB 2,"$1,654,254 ",FIP,N/A,N/A,"Comedy,Drama",10-Feb-17
Menashe,"$1,703,036 ",A24,N/A,PG,Drama,28-Jul-17
Pati Patni Aur Woh,"$874,044 ",Eros International,N/A,N/A,"Comedy,Romance",6-Dec-19
Toni Morrison: The Pieces I Am,"$903,018 ",Magnolia Pictures,N/A,PG-13,Documentary,21-Jun-19
Between Me and My Mind,"$875,191 ",Trafalgar Releasing,N/A,N/A,Documentary,17-Jul-19
Goodbye Christopher Robin,"$1,735,251 ",Fox Searchlight Pictures,N/A,PG,"Biography,Drama",13-Oct-17
Free Fire,"$1,799,312 ",A24,N/A,R,"Action,Comedy,Crime,Thriller",21-Apr-17
Toilet: A Love Story,"$1,830,715 ",Reliance Big Pictures,N/A,N/A,"Comedy,Drama",11-Aug-17
The Post,"$81,903,458 ",Twentieth Century Fox,"$50,000,000 ",PG-13,"Biography,Drama,History,Thriller",N/A
The Little Hours,"$1,647,175 ",Gunpowder & Sky,N/A,R,"Comedy,Romance",30-Jun-17
The Last Word,"$1,783,421 ",Bleecker Street Media,N/A,R,"Comedy,Drama",3-Mar-17
The Wall,"$1,803,064 ",Roadside Attractions,N/A,R,"Action,Drama,Thriller,War",12-May-17
Everybody Loves Somebody,"$1,915,789 ",Pantelion Films,N/A,PG-13,"Comedy,Romance",17-Feb-17
Brad's Status,"$2,133,158 ",Annapurna Pictures,N/A,R,"Comedy,Drama,Music",15-Sep-17
The Patriarch,"$2,156,047 ",Pantelion Films,N/A,PG-13,Comedy,27-Jan-17
Good Time,"$2,026,499 ",A24,N/A,R,"Crime,Drama,Thriller",N/A
The Lovers,"$2,194,521 ",A24,N/A,R,"Comedy,Drama,Romance",5-May-17
Badrinath Ki Dulhania,"$1,993,259 ",FIP,N/A,N/A,"Comedy,Drama,Romance",10-Mar-17
Collide,"$2,280,004 ",Open Road Films (II),N/A,PG-13,"Action,Crime,Thriller",24-Feb-17
Paterson,"$2,152,738 ",Bleecker Street Media,N/A,R,"Comedy,Drama,Romance",28-Dec-16
A Quiet Passion,"$1,865,396 ",Music Box Films,N/A,PG-13,"Biography,Drama",14-Apr-17
Blumhouse's Truth or Dare,"$41,411,015 ",Universal Pictures,"$3,500,000 ",PG-13,"Horror,Thriller",13-Apr-18
"Love, Simon","$40,826,341 ",Twentieth Century Fox,"$17,000,000 ",PG-13,"Comedy,Drama,Romance",16-Mar-18
Paddington 2,"$40,891,591 ",Warner Bros.,N/A,PG,"Adventure,Comedy,Family,Fantasy",12-Jan-18
The Killing of a Sacred Deer,"$2,291,901 ",A24,N/A,R,"Drama,Horror,Mystery,Thriller",20-Oct-17
The Commuter,"$36,343,858 ",Lionsgate,N/A,PG-13,"Action,Mystery,Thriller",12-Jan-18
Darkest Hour,"$56,468,410 ",Focus Features,N/A,PG-13,"Biography,Drama,History,War",N/A
Pitch Perfect 3,"$104,897,530 ",Universal Pictures,"$45,000,000 ",PG-13,"Comedy,Music",22-Dec-17
Widows,"$42,402,632 ",Twentieth Century Fox,"$42,000,000 ",R,"Crime,Drama,Thriller",16-Nov-18
Uncle Drew,"$42,469,946 ",Lionsgate,N/A,PG-13,"Comedy,Sport",29-Jun-18
Tyler Perry's Acrimony,"$43,549,096 ",Lionsgate,N/A,R,"Drama,Romance,Thriller",30-Mar-18
Hereditary,"$44,069,456 ",A24,N/A,R,"Drama,Horror,Mystery,Thriller",8-Jun-18
First Man,"$44,936,545 ",Universal Pictures,"$59,000,000 ",PG-13,"Biography,Drama,History",12-Oct-18
Den of Thieves,"$44,947,622 ",STX Entertainment,N/A,R,"Action,Crime,Drama,Mystery,Thriller",19-Jan-18
Sherlock Gnomes,"$43,242,871 ",Paramount Pictures,"$59,000,000 ",PG,"Adventure,Animation,Comedy,Family,Fantasy,Mystery,Romance",23-Mar-18
12 Strong,"$45,819,713 ",Warner Bros.,N/A,R,"Action,Drama,History,War",19-Jan-18
Breaking In,"$46,840,590 ",Universal Pictures,"$6,000,000 ",PG-13,"Action,Crime,Drama,Thriller",11-May-18
Goosebumps 2: Haunted Halloween,"$46,700,633 ",Sony Pictures Releasing,"$35,000,000 ",PG,"Adventure,Comedy,Family,Fantasy,Horror",12-Oct-18
The Shape of Water,"$63,859,435 ",Fox Searchlight Pictures,N/A,R,"Adventure,Drama,Fantasy,Romance,Thriller",N/A
Life of the Party,"$53,059,911 ",Warner Bros.,N/A,PG-13,Comedy,11-May-18
BlacKkKlansman,"$49,275,340 ",Focus Features,"$15,000,000 ",R,"Biography,Crime,Drama",10-Aug-18
I Feel Pretty,"$48,795,601 ",STX Entertainment,"$32,000,000 ",PG-13,"Comedy,Romance",20-Apr-18
Sicario: Day of the Soldado,"$50,072,235 ",Sony Pictures Releasing,"$35,000,000 ",R,"Action,Crime,Drama,Thriller",29-Jun-18
Red Sparrow,"$46,874,505 ",Twentieth Century Fox,"$69,000,000 ",R,"Action,Drama,Thriller",2-Mar-18
Overboard,"$50,316,123 ",Pantelion Films,"$12,000,000 ",PG-13,"Comedy,Romance",4-May-18
The Predator,"$51,024,708 ",Twentieth Century Fox,"$88,000,000 ",R,"Action,Adventure,Sci-Fi,Thriller",14-Sep-18
A Simple Favor,"$53,548,586 ",Lionsgate,"$20,000,000 ",R,"Comedy,Crime,Drama,Mystery,Thriller",14-Sep-18
Jesus Is King,"$973,000 ",IMAX,N/A,N/A,"Documentary,Music,Short",25-Oct-19
BlacKkKlansman,"$49,275,340 ",Focus Features,"$15,000,000 ",R,"Biography,Crime,Drama",10-Aug-18
Kiki's Delivery Service,"$1,004,057 ",Fathom Events,N/A,N/A,"Adventure,Animation,Drama,Family,Fantasy",28-Jul-19
Marianne & Leonard: Words of Love,"$1,012,034 ",Roadside Attractions,N/A,R,"Biography,Documentary,Music,Romance",5-Jul-19
Perfect Strangers,"$1,014,507 ",Pantelion Films,N/A,N/A,Comedy,11-Jan-19
Noah: The Musical,"$1,035,603 ",Fathom Events,N/A,N/A,N/A,9-Apr-19
Luka Chuppi,"$1,042,905 ",Viva Pictures Distribution,N/A,N/A,"Comedy,Romance",1-Mar-19
Princess Mononoke,"$1,046,446 ",Fathom Events,N/A,PG-13,"Adventure,Animation,Fantasy",17-Nov-19
Bennett's War,"$1,056,416 ",Forrest Films,N/A,PG-13,Sport,30-Aug-19
Mortal Engines,"$15,951,040 ",Universal Pictures,N/A,PG-13,"Action,Adventure,Fantasy,Sci-Fi,Thriller",14-Dec-18
Playmobil: The Movie,"$1,115,008 ",STX Entertainment,N/A,PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical",6-Dec-19
My Neighbor Totoro,"$1,105,564 ",Fathom Events,N/A,N/A,"Animation,Family,Fantasy",25-Aug-19
The Souvenir,"$1,036,737 ",A24,N/A,R,"Drama,Mystery,Romance",17-May-19
El Coyote,"$1,101,470 ",Cactus Blue Entertainment,N/A,R,Action,4-Oct-19
Rush: Cinema Strangiato 2019,"$960,073 ",Trafalgar Releasing,N/A,N/A,Music,21-Aug-19
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$1,134,786 ",Fathom Events,N/A,N/A,"Adventure,Animation,Comedy,Fantasy",12-Nov-19
Western Stars,"$1,581,681 ",Warner Bros.,N/A,PG,"Documentary,Music",25-Oct-19
Ek Ladki Ko Dekha Toh Aisa Laga,"$1,182,636 ",FIP,N/A,N/A,"Comedy,Drama,Romance",1-Feb-19
No Safe Spaces,"$1,291,514 ",Atlas Distribution Company,N/A,PG-13,Documentary,25-Oct-19
Los Domirriqueños 2,"$1,187,280 ",Spanglish Movies,N/A,N/A,"Comedy,Sport",14-Mar-19
BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552 ",Fathom Events,N/A,N/A,Music,27-Oct-19
Kingdom Men Rising,"$1,188,936 ",Fathom Events,N/A,Not Rated,Documentary,29-Apr-19
High Life,"$1,225,852 ",A24,N/A,R,"Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller",5-Apr-19
Asterix: The Secret of the Magic Potion,"$1,271,953 ",Entertainment One,N/A,N/A,"Adventure,Animation,Comedy,Family,Fantasy",15-Feb-19
Pilgrim's Progress,"$1,294,596 ",Fathom Events,N/A,PG,"Adventure,Animation,Family,Fantasy",18-Apr-19
Can You Ever Forgive Me?,"$8,803,865 ",Fox Searchlight Pictures,N/A,R,"Biography,Comedy,Crime,Drama",19-Oct-18
Nothing to Lose 2,"$1,150,551 ",Swen Releasing,N/A,PG-13,"Biography,Drama",27-Sep-19
Pokémon the Movie: I Choose You!,"$2,401,722 ",Fathom Events,N/A,N/A,"Action,Adventure,Animation,Family,Fantasy",5-Nov-17
The Resurrection of Gavin Stone,"$2,303,792 ",BH Tilt,N/A,PG,"Comedy,Drama,Family,Romance",20-Jan-17
Jeepers Creepers III,"$2,335,162 ",Screen Media Films,N/A,N/A,"Action,Horror,Mystery,Thriller",26-Sep-17
The Salesman,"$2,402,067 ",Cohen Media Group,N/A,PG-13,"Drama,Thriller",27-Jan-17
T2 Trainspotting,"$2,402,004 ",TriStar Pictures,"$18,000,000 ",R,Drama,17-Mar-17
Metallica & San Francisco Symphony - S&M2,"$1,252,385 ",Trafalgar Releasing,N/A,N/A,Music,9-Oct-19
All Is True,"$1,200,481 ",Sony Pictures Classics,N/A,PG-13,"Biography,Drama,History",10-May-19
IN OUR HANDS: Battle for Jerusalem,"$2,534,370 ",Fathom Events,N/A,N/A,Documentary,23-May-17
"I, Tonya","$30,014,539 ",Neon,N/A,R,"Biography,Comedy,Drama,Sport",N/A
LBJ,"$2,470,979 ",Electric Entertainment,N/A,R,"Biography,Drama,History",3-Nov-17
Do It Like An Hombre,"$2,534,252 ",Pantelion Films,N/A,R,Comedy,1-Sep-17
Disney's Newsies: The Broadway Musical!,"$2,545,060 ",Fathom Events,N/A,PG,Musical,18-Feb-17
Tulip Fever,"$2,455,635 ",The Weinstein Company,N/A,R,"Drama,History,Romance",1-Sep-17
Is Genesis History?,"$2,570,392 ",Fathom Events,N/A,N/A,Documentary,23-Feb-17
Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,"$2,620,183 ",Fathom Events,N/A,N/A,Sport,26-Aug-17
Kedi,"$2,835,047 ",Oscilloscope,N/A,N/A,Documentary,10-Feb-17
A Question of Faith,"$2,587,072 ",Pure Flix Entertainment,N/A,PG,Drama,29-Sep-17
Wolf Warrior 2,"$2,721,100 ",The H Collective,"$30,100,000 ",N/A,"Action,Drama,Thriller,War",28-Jul-17
My Cousin Rachel,"$2,716,368 ",Fox Searchlight Pictures,N/A,PG-13,"Drama,Mystery,Romance",9-Jun-17
Hacksaw Ridge,"$67,209,615 ",Lionsgate,"$40,000,000 ",R,"Biography,Drama,History,War",4-Nov-16
Doctor Strange,"$232,641,920 ",Walt Disney Studios Motion Pictures,"$165,000,000 ",PG-13,"Action,Adventure,Fantasy,Sci-Fi",4-Nov-16
The Oscar Nominated Short Films 2017: Live Action,"$2,835,355 ",Shorts International,N/A,N/A,Drama,10-Feb-17
Leap!,"$2,844,490 ",Entertainment One,N/A,PG,"Adventure,Animation,Comedy,Family,Music",24-Feb-17
Ingrid Goes West,"$3,024,308 ",Neon,N/A,R,"Comedy,Drama",N/A
Raees,"$3,262,954 ",Zee TV,N/A,N/A,"Action,Crime,Drama",25-Jan-17
Close Encounters of the Third Kind,"$3,100,479 ",Sony Pictures Releasing,"$20,000,000 ",N/A,"Drama,Sci-Fi",1-Sep-17
Colossal,"$3,029,287 ",Neon,N/A,R,"Comedy,Drama,Fantasy,Sci-Fi,Thriller",7-Apr-17
The Nutcracker and the Four Realms,"$54,858,851 ",Walt Disney Studios Motion Pictures,"$120,000,000 ",PG,"Adventure,Family,Fantasy",2-Nov-18
Maze Runner: The Death Cure,"$58,032,443 ",Twentieth Century Fox,"$62,000,000 ",PG-13,"Action,Adventure,Sci-Fi,Thriller",26-Jan-18
Tomb Raider,"$58,250,803 ",Warner Bros.,"$94,000,000 ",PG-13,"Action,Adventure,Fantasy,Thriller",16-Mar-18
Pacific Rim: Uprising,"$59,874,525 ",Universal Pictures,"$150,000,000 ",PG-13,"Action,Adventure,Sci-Fi",23-Mar-18
Tag,"$54,730,625 ",Warner Bros.,"$28,000,000 ",R,Comedy,15-Jun-18
Blockers,"$60,311,495 ",Universal Pictures,"$21,000,000 ",R,Comedy,6-Apr-18
The Mule,"$103,804,407 ",Warner Bros.,"$50,000,000 ",R,"Crime,Drama,Thriller",14-Dec-18
Skyscraper,"$68,420,120 ",Universal Pictures,"$125,000,000 ",PG-13,"Action,Adventure,Thriller",13-Jul-18
Instant Family,"$67,363,237 ",Paramount Pictures,"$48,000,000 ",PG-13,"Comedy,Drama",16-Nov-18
Never Look Away,"$1,304,042 ",Sony Pictures Classics,N/A,R,"Drama,History,Romance,Thriller",30-Nov-18
Insidious: The Last Key,"$67,745,330 ",Universal Pictures,"$10,000,000 ",PG-13,"Horror,Mystery,Thriller",5-Jan-18
The House with a Clock in Its Walls,"$68,549,695 ",Universal Pictures,"$42,000,000 ",PG,"Comedy,Family,Fantasy,Horror,Sci-Fi",21-Sep-18
Book Club,"$68,566,296 ",Paramount Pictures,N/A,PG-13,"Comedy,Drama,Romance",18-May-18
Game Night,"$69,179,066 ",Warner Bros.,"$37,000,000 ",R,"Action,Comedy,Crime,Mystery",23-Feb-18
The First Purge,"$69,488,745 ",Universal Pictures,"$13,000,000 ",R,"Action,Horror,Sci-Fi,Thriller",4-Jul-18
Spirited Away,"$1,322,927 ",Fathom Events,N/A,PG,"Adventure,Animation,Family,Fantasy,Mystery",27-Oct-19
El Chicano,"$1,400,603 ",Briarcliff Entertainment,N/A,R,Drama,3-May-19
The Wife,"$9,601,092 ",Sony Pictures Classics,N/A,R,Drama,17-Aug-18
Kinky Boots: The Musical,"$900,451 ",Fathom Events,N/A,N/A,Musical,25-Jun-19
The Kid,"$1,508,593 ",Lionsgate,N/A,R,"Biography,Drama,Western",8-Mar-19
1917,"$155,907,149 ",Universal Pictures,N/A,R,"Drama,War",N/A
Destroyer,"$1,533,324 ",Annapurna Pictures,N/A,R,"Action,Crime,Drama,Mystery,Thriller",25-Dec-18
Table 19,"$3,614,896 ",Fox Searchlight Pictures,N/A,PG-13,"Comedy,Drama,Romance",3-Mar-17
A Monster Calls,"$3,740,823 ",Focus Features,N/A,PG-13,"Animation,Drama,Fantasy",N/A
An Inconvenient Sequel: Truth to Power,"$3,496,795 ",Paramount Pictures,"$1,000,000 ",PG,Documentary,28-Jul-17
Phoenix Forgotten,"$3,600,146 ",Cinelou Films,"$2,800,000 ",PG-13,"Horror,Mystery,Sci-Fi,Thriller",21-Apr-17
Til Death Do Us Part,"$3,455,267 ",Novus,N/A,PG-13,Thriller,29-Sep-17
Friend Request,"$3,759,078 ",Entertainment Studios Motion Pictures,"$9,900,000 ",R,"Horror,Mystery,Thriller",22-Sep-17
Their Finest,"$3,603,484 ",STX Entertainment,N/A,R,"Comedy,Drama,Romance,War",7-Apr-17
Norman,"$3,814,868 ",Sony Pictures Classics,N/A,R,"Drama,Thriller",14-Apr-17
Fantastic Fungi,"$1,788,322 ",Area 23a,N/A,N/A,Documentary,20-Sep-19
Sleight,"$3,986,245 ",BH Tilt,"$250,000 ",R,"Action,Drama,Sci-Fi,Thriller",28-Apr-17
Dangal,"$12,391,761 ",UTV Motion Pictures,N/A,N/A,"Action,Biography,Drama,Sport",21-Dec-16
A United Kingdom,"$3,902,185 ",Fox Searchlight Pictures,N/A,PG-13,"Biography,Drama,Romance",10-Feb-17
Stronger,"$4,211,129 ",Roadside Attractions,N/A,R,"Biography,Drama",N/A
The Book of Henry,"$4,504,974 ",Focus Features,N/A,PG-13,"Crime,Drama,Thriller",N/A
A Beautiful Planet,"$15,643,044 ",IMAX,N/A,N/A,Documentary,29-Apr-16
Call Me by Your Name,"$18,095,701 ",Sony Pictures Classics,N/A,R,"Drama,Romance",N/A
Tiger Zinda Hai,"$5,560,921 ",Yash Raj Films,"$20,470,000 ",N/A,"Action,Adventure,Thriller",22-Dec-17
Trolls,"$153,707,064 ",Twentieth Century Fox,"$125,000,000 ",PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical",4-Nov-16
The Hero,"$4,077,333 ",The Orchard,N/A,R,"Drama,Romance,Western",9-Jun-17
The Florida Project,"$5,904,366 ",A24,N/A,R,Drama,6-Oct-17
Night School,"$77,339,130 ",Universal Pictures,"$29,000,000 ",PG-13,Comedy,28-Sep-18
The Post,"$81,903,458 ",Twentieth Century Fox,"$50,000,000 ",PG-13,"Biography,Drama,History,Thriller",N/A
Office Christmas Party,"$54,767,494 ",Paramount Pictures,"$45,000,000 ",R,Comedy,9-Dec-16
I Can Only Imagine,"$83,482,352 ",Roadside Attractions,"$7,000,000 ",PG,"Biography,Drama,Family,Music",16-Mar-18
